Kingdom,Genome ID
Bacteria,GCF_900128725.1
Bacteria,GCF_002157365.2
Bacteria,GCF_003044255.1
Bacteria,GCF_009730575.1
Bacteria,GCF_016406305.1
Bacteria,GCF_016406325.1
Bacteria,GCF_017068195.1
Bacteria,GCF_019599085.1
Bacteria,GCF_019599125.1
Bacteria,GCF_023159095.1
Bacteria,GCF_023159115.1
Bacteria,GCF_023159135.1
Bacteria,GCF_900636665.1
Bacteria,GCF_006400955.1
Bacteria,GCF_006401215.1
Bacteria,GCF_006401635.1
Bacteria,GCF_006402015.1
Bacteria,GCF_006402415.1
Bacteria,GCF_006402735.1
Bacteria,GCF_015775755.1
Bacteria,GCF_016698685.1
Bacteria,GCF_019895115.1
Bacteria,GCF_000219105.1
Bacteria,GCF_002305875.1
Bacteria,GCF_001027285.1
Bacteria,GCF_001189295.1
Bacteria,GCF_002950945.1
Bacteria,GCF_004135735.1
Bacteria,GCF_004135755.1
Bacteria,GCF_022870945.1
Bacteria,GCF_002222655.1
Bacteria,GCF_002355975.1
Bacteria,GCF_005954665.1
Bacteria,GCF_017355525.1
Bacteria,GCF_023617245.1
Bacteria,GCF_020162275.1
Bacteria,GCF_006738645.1
Bacteria,GCF_003149495.1
Bacteria,GCF_008065095.1
Bacteria,GCF_007747015.1
Bacteria,GCF_008298035.1
Bacteria,GCF_009720545.1
Bacteria,GCF_009685195.1
Bacteria,GCF_002151465.1
Bacteria,GCF_002151485.1
Bacteria,GCF_002151505.1
Bacteria,GCF_002442595.2
Bacteria,GCF_003367295.1
Bacteria,GCF_019134655.1
Bacteria,GCF_019464575.1
Bacteria,GCF_020422925.1
Bacteria,GCF_020865525.1
Bacteria,GCF_023035815.1
Bacteria,GCF_003568645.1
Bacteria,GCF_023035415.1
Bacteria,GCF_023035575.1
Bacteria,GCF_023035295.1
Bacteria,GCF_024181405.1
Bacteria,GCF_024181425.1
Bacteria,GCF_024181445.1
Bacteria,GCF_024181465.1
Bacteria,GCF_024181485.1
Bacteria,GCF_024181505.1
Bacteria,GCF_024181545.1
Bacteria,GCF_024181565.1
Bacteria,GCF_024181605.1
Bacteria,GCF_024181625.1
Bacteria,GCF_024181645.1
Bacteria,GCF_024400535.1
Bacteria,GCF_024400725.1
Bacteria,GCF_002850235.1
Bacteria,GCF_017751165.1
Bacteria,GCF_017751185.1
Bacteria,GCF_017751205.1
Bacteria,GCF_017751225.1
Bacteria,GCF_005885795.1
Bacteria,GCF_023016345.1
Bacteria,GCF_023016365.1
Bacteria,GCF_023016385.1
Bacteria,GCF_023016405.1
Bacteria,GCF_023016425.1
Bacteria,GCF_023016445.1
Bacteria,GCF_008152505.1
Bacteria,GCF_008152825.1
Bacteria,GCF_008153055.1
Bacteria,GCF_008153205.1
Bacteria,GCF_008153345.1
Bacteria,GCF_013348685.1
Bacteria,GCF_017161245.1
Bacteria,GCF_017161285.1
Bacteria,GCF_005222565.1
Bacteria,GCF_005222585.1
Bacteria,GCF_005222625.1
Bacteria,GCF_021378355.1
Bacteria,GCF_022343745.1
Bacteria,GCF_022343765.1
Bacteria,GCF_022343785.1
Bacteria,GCF_022343805.1
Bacteria,GCF_022343825.1
Bacteria,GCF_022453705.1
Bacteria,GCF_022453725.1
Bacteria,GCF_022453745.1
Bacteria,GCF_022488445.1
Bacteria,GCF_022488465.1
Bacteria,GCF_022559725.1
Bacteria,GCF_023515975.1
Bacteria,GCF_018399095.1
Bacteria,GCF_018402785.1
Bacteria,GCF_018402805.1
Bacteria,GCF_018402825.1
Bacteria,GCF_018402845.1
Bacteria,GCF_018403805.1
Bacteria,GCF_018403825.1
Bacteria,GCF_023547025.1
Bacteria,GCF_008118365.1
Bacteria,GCF_000632475.1
Bacteria,GCF_001315015.1
Bacteria,GCF_005222145.1
Bacteria,GCF_005222165.1
Bacteria,GCF_005222205.1
Bacteria,GCF_008274945.1
Bacteria,GCF_008274965.1
Bacteria,GCF_022023855.1
Bacteria,GCF_000954195.1
Bacteria,GCF_001417635.1
Bacteria,GCF_001483845.1
Bacteria,GCF_001639125.1
Bacteria,GCF_001717605.1
Bacteria,GCF_001865455.1
Bacteria,GCF_001865475.1
Bacteria,GCF_001865495.1
Bacteria,GCF_001865515.1
Bacteria,GCF_001865535.1
Bacteria,GCF_001865555.1
Bacteria,GCF_001936355.1
Bacteria,GCF_002024185.1
Bacteria,GCF_002407145.1
Bacteria,GCF_002843985.1
Bacteria,GCF_003030205.1
Bacteria,GCF_004307315.1
Bacteria,GCF_005517455.1
Bacteria,GCF_008727315.1
Bacteria,GCF_008727495.1
Bacteria,GCF_009649055.1
Bacteria,GCF_009730395.1
Bacteria,GCF_010232325.1
Bacteria,GCF_013391125.1
Bacteria,GCF_014705905.1
Bacteria,GCF_014906165.1
Bacteria,GCF_014906185.1
Bacteria,GCF_014906205.1
Bacteria,GCF_016127675.1
Bacteria,GCF_018176575.1
Bacteria,GCF_018176655.1
Bacteria,GCF_018176875.1
Bacteria,GCF_018176975.1
Bacteria,GCF_018885145.1
Bacteria,GCF_018885165.1
Bacteria,GCF_018885185.1
Bacteria,GCF_018885245.1
Bacteria,GCF_019930865.1
Bacteria,GCF_019930985.1
Bacteria,GCF_019967875.1
Bacteria,GCF_020042445.1
Bacteria,GCF_020042525.1
Bacteria,GCF_020042585.1
Bacteria,GCF_020042605.1
Bacteria,GCF_020143085.2
Bacteria,GCF_021899855.1
Bacteria,GCF_022220285.1
Bacteria,GCF_022220345.1
Bacteria,GCF_023278005.1
Bacteria,GCF_011600845.2
Bacteria,GCF_011600855.2
Bacteria,GCF_011600945.2
Bacteria,GCF_011600955.2
Bacteria,GCF_011600995.2
Bacteria,GCF_011601005.2
Bacteria,GCF_011601375.2
Bacteria,GCF_000759575.2
Bacteria,GCF_001314285.1
Bacteria,GCF_001412295.1
Bacteria,GCF_001457695.1
Bacteria,GCF_001506185.1
Bacteria,GCF_001506205.1
Bacteria,GCF_001506225.1
Bacteria,GCF_001506245.1
Bacteria,GCF_001506265.1
Bacteria,GCF_001506285.1
Bacteria,GCF_001506305.1
Bacteria,GCF_001506345.1
Bacteria,GCF_001506365.1
Bacteria,GCF_001506385.1
Bacteria,GCF_001506405.1
Bacteria,GCF_001506425.1
Bacteria,GCF_001506445.1
Bacteria,GCF_001506465.1
Bacteria,GCF_001506485.1
Bacteria,GCF_001506505.1
Bacteria,GCF_001506525.1
Bacteria,GCF_001506545.1
Bacteria,GCF_001506565.1
Bacteria,GCF_001506585.1
Bacteria,GCF_001506605.1
Bacteria,GCF_001506625.1
Bacteria,GCF_001506645.1
Bacteria,GCF_001506665.1
Bacteria,GCF_001506685.1
Bacteria,GCF_001506705.1
Bacteria,GCF_001506725.1
Bacteria,GCF_001506745.1
Bacteria,GCF_001506765.1
Bacteria,GCF_001506785.1
Bacteria,GCF_001506805.1
Bacteria,GCF_001506825.1
Bacteria,GCF_001506845.1
Bacteria,GCF_001506865.1
Bacteria,GCF_001506885.1
Bacteria,GCF_001506905.1
Bacteria,GCF_001506925.1
Bacteria,GCF_001506945.1
Bacteria,GCF_001506965.1
Bacteria,GCF_001506985.1
Bacteria,GCF_001507005.1
Bacteria,GCF_001507025.1
Bacteria,GCF_001507045.1
Bacteria,GCF_001507065.1
Bacteria,GCF_001507085.1
Bacteria,GCF_001507105.1
Bacteria,GCF_001507125.1
Bacteria,GCF_001507145.1
Bacteria,GCF_001507165.1
Bacteria,GCF_001507185.1
Bacteria,GCF_001507205.1
Bacteria,GCF_001507225.1
Bacteria,GCF_001507245.1
Bacteria,GCF_001507265.1
Bacteria,GCF_001563565.1
Bacteria,GCF_001587015.1
Bacteria,GCF_001587035.1
Bacteria,GCF_001865395.1
Bacteria,GCF_001865415.1
Bacteria,GCF_001865435.1
Bacteria,GCF_001870085.1
Bacteria,GCF_001870105.1
Bacteria,GCF_001951235.1
Bacteria,GCF_001951255.1
Bacteria,GCF_001951275.1
Bacteria,GCF_001951295.1
Bacteria,GCF_001951315.1
Bacteria,GCF_001951335.1
Bacteria,GCF_002024325.1
Bacteria,GCF_002101355.1
Bacteria,GCF_002209005.1
Bacteria,GCF_002209025.1
Bacteria,GCF_002209045.1
Bacteria,GCF_002209065.1
Bacteria,GCF_002214785.1
Bacteria,GCF_002224325.1
Bacteria,GCF_002224385.1
Bacteria,GCF_002234455.1
Bacteria,GCF_002407125.1
Bacteria,GCF_002587105.1
Bacteria,GCF_002587225.1
Bacteria,GCF_003030185.1
Bacteria,GCF_003060725.1
Bacteria,GCF_003060745.1
Bacteria,GCF_003060765.1
Bacteria,GCF_003060785.1
Bacteria,GCF_003368045.1
Bacteria,GCF_003368065.1
Bacteria,GCF_003368085.1
Bacteria,GCF_003368105.1
Bacteria,GCF_003368125.1
Bacteria,GCF_003368145.1
Bacteria,GCF_003368165.1
Bacteria,GCF_003368185.1
Bacteria,GCF_003368205.1
Bacteria,GCF_003368225.1
Bacteria,GCF_003368245.1
Bacteria,GCF_004328905.1
Bacteria,GCF_004924295.1
Bacteria,GCF_007107025.1
Bacteria,GCF_008386335.1
Bacteria,GCF_008727335.1
Bacteria,GCF_008727415.1
Bacteria,GCF_008727435.1
Bacteria,GCF_008727455.1
Bacteria,GCF_009649035.1
Bacteria,GCF_012220765.1
Bacteria,GCF_012220945.1
Bacteria,GCF_012224585.1
Bacteria,GCF_012224765.1
Bacteria,GCF_012224905.1
Bacteria,GCF_012225065.1
Bacteria,GCF_012225225.1
Bacteria,GCF_012225445.1
Bacteria,GCF_012225685.1
Bacteria,GCF_013177475.1
Bacteria,GCF_013389555.1
Bacteria,GCF_013389575.1
Bacteria,GCF_014082005.1
Bacteria,GCF_014151305.1
Bacteria,GCF_014151465.1
Bacteria,GCF_014151665.1
Bacteria,GCF_014151825.1
Bacteria,GCF_014151925.1
Bacteria,GCF_014152105.1
Bacteria,GCF_014152305.1
Bacteria,GCF_014152385.1
Bacteria,GCF_014152565.1
Bacteria,GCF_015245165.1
Bacteria,GCF_016350125.1
Bacteria,GCF_016458845.1
Bacteria,GCF_016458865.1
Bacteria,GCF_016600925.1
Bacteria,GCF_017351955.1
Bacteria,GCF_017352015.1
Bacteria,GCF_017356685.1
Bacteria,GCF_017356745.1
Bacteria,GCF_017356765.1
Bacteria,GCF_017356785.1
Bacteria,GCF_017356805.1
Bacteria,GCF_017356825.1
Bacteria,GCF_017356845.1
Bacteria,GCF_017356865.1
Bacteria,GCF_017356885.1
Bacteria,GCF_017356905.1
Bacteria,GCF_017356945.1
Bacteria,GCF_017356965.1
Bacteria,GCF_017357025.1
Bacteria,GCF_018176755.1
Bacteria,GCF_018885125.1
Bacteria,GCF_018885205.1
Bacteria,GCF_018885225.1
Bacteria,GCF_019056415.1
Bacteria,GCF_019056455.1
Bacteria,GCF_019754215.1
Bacteria,GCF_020718705.1
Bacteria,GCF_020718885.1
Bacteria,GCF_020719015.1
Bacteria,GCF_020719145.1
Bacteria,GCF_020719285.1
Bacteria,GCF_020719435.1
Bacteria,GCF_020719565.1
Bacteria,GCF_020719705.1
Bacteria,GCF_020719855.1
Bacteria,GCF_020720025.1
Bacteria,GCF_020720295.1
Bacteria,GCF_020720445.1
Bacteria,GCF_020720575.1
Bacteria,GCF_020736145.1
Bacteria,GCF_024181005.1
Bacteria,GCF_024181745.1
Bacteria,GCF_024333985.1
Bacteria,GCF_024334005.1
Bacteria,GCF_024334025.1
Bacteria,GCF_024334045.1
Bacteria,GCF_900638165.1
Bacteria,GCF_900638175.1
Bacteria,GCF_900638185.1
Bacteria,GCF_900638195.1
Bacteria,GCF_900638205.1
Bacteria,GCF_900638225.1
Bacteria,GCF_900638285.1
Bacteria,GCF_902385735.1
Bacteria,GCF_001298465.1
Bacteria,GCF_003048375.1
